	names	scores	logfoldchanges	pvals	pvals_adj
166	Mir6236	15.235615	30.428509	5.0114951721171856e-26	9.816581640202926e-25
1699	Il18r1	5.136436	28.155144	1.755365030086683e-06	8.57038876688915e-06
143	Rpl27a-ps2	16.291117	27.875967	7.095860191094864e-28	1.5084127522683312e-26
2345	Il1rl1	4.0956573	27.6276	9.564941598693406e-05	0.0003643760269895761
321	Dnaja1-ps	11.732498	27.08856	1.8346739717524623e-19	2.5464869447352678e-18
447	Rpl10-ps1	9.934602	26.958513	6.961274521672907e-16	7.911155563360658e-15
921	Llph-ps1	7.1265464	26.933693	3.127882869035592e-10	2.3048560437528167e-09
1272	mt-Te	5.991818	26.691303	4.84605989510795e-08	2.8518608601019824e-07
906	Bod1-ps	7.1819906	26.321705	2.430777404233539e-10	1.807894152709365e-09
1434	G6pd2	5.6290517	26.294039	2.2829248469179243e-07	1.2425454526628243e-06
423	Serpinb9f	10.238331	25.960697	1.7036400796552986e-16	2.0116744605196087e-15
898	Rpl19-ps5	7.2167764	25.488808	2.074675067188132e-10	1.5525849397672433e-09
1926	4930430E12Rik	4.732753	24.928907	8.747549803986766e-06	3.8949127111700684e-05
2372	Snora68	4.0523944	24.868309	0.0001117252859475713	0.00042126436335079614
1619	Mif-ps3	5.277462	24.663208	9.871825992959587e-07	4.9782708854447994e-06
1732	Rpl31-ps1	5.0825024	24.567242	2.1834336239733046e-06	1.0562529878010037e-05
2812	mt-Tc	3.5035696	24.417778	0.0007347465983982754	0.0024175604843370445
1412	Rpl21-ps14	5.6715417	24.311594	1.9076403103207905e-07	1.046648101609799e-06
1439	Vmn1r13	5.616413	24.275867	2.4079402783997433e-07	1.3077565278616158e-06
1501	Rpl37-ps1	5.4779353	24.275743	4.304637527349455e-07	2.2717722812322523e-06
1730	AC163638.2	5.084261	24.215828	2.167989315181876e-06	1.0494031836287026e-05
3862	Mir1192	2.5194464	23.980871	0.013625065001699061	0.03389758190287124
2968	Atg4a-ps	3.3410203	23.962551	0.0012418312032183572	0.003906262722899141
3673	Tpt1-ps7	2.672358	23.909777	0.009027607521481969	0.023536468285140468
2063	Rpl21-ps3	4.5024533	23.74494	2.122020819131636e-05	8.980930857964759e-05
1903	A930002H02Rik	4.761957	23.72024	7.805039135707932e-06	3.503902771104497e-05
4041	Snord65	2.4141583	23.671534	0.017917856962501172	0.04307483927126781
1992	Rpl21-ps5	4.6115756	23.659386	1.398436747484753e-05	6.06063454709767e-05
3029	Olfr295	3.271562	23.53793	0.0015464530469375187	0.004773928609466133
2647	Stk19-ps1	3.6948903	23.49365	0.0003883622031219833	0.0013418949093278935
2865	Rps12-ps2	3.440312	23.421385	0.0009029279939199037	0.00291977101596843
2072	Rpl10-ps2	4.4853435	23.39147	2.2643142421181395e-05	9.54365658316796e-05
2933	Amd-ps4	3.3650389	23.296627	0.0011503197937880662	0.0036482623395881855
2575	Rpl19-ps9	3.7902963	23.222267	0.0002804043874961381	0.000992702627875319
2607	Rpl17-ps1	3.7544274	23.201456	0.00031711957388394897	0.0011128014828660424
2881	Gtpbp4-ps3	3.4306483	23.178116	0.0009316159123365862	0.0030071810614279077
2409	Atp5c1-ps	3.9929948	23.147324	0.00013807125262548385	0.0005140385183491834
3847	Snora31	2.5304286	23.127491	0.013235354366983462	0.033061065231838736
3879	Mir3091	2.5103576	23.107307	0.013955349256601825	0.0346450213707888
3397	mt-Tn	2.941511	23.100304	0.004207686795877859	0.011827060450939201
3414	Rpl21-ps13	2.9250443	22.984432	0.004415002842977177	0.012354521059317686
3552	Eif3s6-ps4	2.7917595	22.965187	0.006473178929311724	0.017421595976721743
3056	Rpl31-ps18	3.2482474	22.877903	0.0016635175070406395	0.005098696764309457
3093	Rpl21-ps4	3.209224	22.868519	0.0018781989915095413	0.005696314457401953
2720	Snora65	3.5982957	22.816872	0.0005372589742252861	0.001812105137283243
3064	Skint5	3.234416	22.765589	0.0017368350058149771	0.005307483178544028
3665	Nlrp9c	2.680587	22.713602	0.008825773336760372	0.023065468903533164
3654	Olfr1062	2.6960578	22.675917	0.008457391739771303	0.02217723598022053
3388	Mir6240	2.9478822	22.62642	0.004129911132389744	0.011630529292679484
3653	Rps6-ps2	2.6975844	22.605814	0.008421814599930811	0.022092809989846602
3021	Rps11-ps5	3.2778125	22.46998	0.0015164083393444138	0.004688267379958367
3796	Vmn2r100	2.5751586	22.388313	0.011749663309858051	0.029729477992952228
4052	Rps2-ps2	2.409394	22.373293	0.018137931067741912	0.04354622836184374
3223	Olfr50	3.0962415	22.25367	0.0026546992051942764	0.007805001991479582
3936	D030025E07Rik	2.4737103	22.17736	0.015361260237205982	0.037665925383131786
3649	Rps16-ps3	2.7025309	22.112743	0.008307454790915637	0.02181207572995714
4120	Rps15a-ps2	2.3645303	21.970552	0.020331291147978058	0.04802865126728994
3891	Cycs-ps2	2.504095	21.800594	0.014187096211580232	0.035137582968538576
3794	4930407I19Rik	2.575609	21.7129	0.011735508033483171	0.029700561888303303
3922	Rps8-ps3	2.4818566	21.704268	0.015038209105839043	0.03698204170668967
3588	Lrtm1	2.761113	21.68111	0.007056620018295928	0.01883206288146556
4058	Selenok-ps6	2.4064867	21.016846	0.018273405379422715	0.04381246207548947
394	Gsdma	10.672542	11.491326	2.2977792681225665e-17	2.8556615453544546e-16
946	Grem2	7.0197415	10.392823	5.076911096127805e-10	3.677187236616799e-09
9	Ybx1-ps2	42.800972	10.209195	2.5508342953405133e-59	1.546259905967729e-57
273	Pakap	12.551362	9.765953	4.7120988735078626e-21	7.140927944996401e-20
558	Mrpl27-ps	9.078266	9.579292	3.74467525873386e-14	3.776227615080599e-13
661	Vmn2r110	8.417825	9.283314	8.115088382364038e-13	7.422852259713893e-12
1371	Samd5	5.7598753	9.182857	1.310762413496081e-07	7.338337960273724e-07
106	Rpl28-ps3	19.113838	9.070012	1.5499910542635287e-32	3.941078421474885e-31
1598	1700122C19Rik	5.3217506	8.781644	8.22329197206716e-07	4.18504078821418e-06
1093	Pyy	6.560021	8.600105	4.001173863848807e-09	2.6442223635423154e-08
