	names	scores	logfoldchanges	pvals	pvals_adj
20745	Tmem11	-5.237583	-2.000293	3.5457549063210987e-07	1.960217998101119e-06
18647	Csrp1	-2.9253418	-2.0004535	0.003797185484361387	0.013152630635310705
22664	Gpx4	-8.979504	-2.002753	4.161771778880676e-17	4.234838484060054e-16
22267	Impdh2	-8.025624	-2.0150354	3.7947908852147394e-14	3.2892546494380273e-13
19567	Mms22l	-3.817575	-2.015543	0.00017254615265460842	0.0007261545798684993
19790	Rtel1	-4.028459	-2.0184767	7.47404239749088e-05	0.00032982817976576423
22355	Tra2a	-8.26821	-2.0241253	7.345985372225228e-15	6.596962372472453e-14
20599	Ppp1r7	-5.0437417	-2.024694	8.887550024283855e-07	4.736386298958392e-06
21261	Guk1	-6.0075374	-2.02511	7.2075969489088335e-09	4.564448480686123e-08
18857	Prpf39	-3.124045	-2.0251174	0.0020167684788835578	0.007310822066268484
21138	Rbm26	-5.821545	-2.0280466	1.7877836819499516e-08	1.0949576512239855e-07
20838	Agpat2	-5.384557	-2.0282314	1.5798206625452844e-07	8.950182194969389e-07
22576	Ilf3	-8.788033	-2.0289488	1.3887813698106826e-16	1.369937512792859e-15
19132	Nup35	-3.3810825	-2.028952	0.0008574588215797665	0.0032893883175259186
22573	Macf1	-8.784636	-2.0293078	1.669699582011252e-16	1.6380508301837375e-15
20039	Gtf2h2	-4.3050857	-2.030145	2.493332763761724e-05	0.00011605716569145522
19098	Ylpm1	-3.3423147	-2.035663	0.0009698844184488855	0.0036897266578438093
21305	Tmpo	-6.0786424	-2.036008	4.568391625504721e-09	2.930714688802493e-08
21551	Kif22	-6.535263	-2.03734	3.3284249420682655e-10	2.2931580660855967e-09
21066	Rfc3	-5.7164836	-2.0385697	3.310051552511237e-08	1.9857151622195961e-07
19113	Tma16	-3.3616142	-2.0389047	0.0009191763416445908	0.003508491911643101
18549	Gfm2	-2.8532386	-2.0391073	0.0047363819982429575	0.016128191794206492
23440	Lig1	-11.8018675	-2.0415044	3.6286433515867323e-26	5.3377131500475245e-25
19176	Pan2	-3.4233103	-2.0440505	0.0007326701153095899	0.0028366298415418542
22215	Snhg5	-7.909543	-2.04551	4.745126122090232e-14	4.0862342511146076e-13
21985	Polr2c	-7.330903	-2.0474405	3.1913681486915248e-12	2.5031392083625387e-11
20543	Ing5	-4.9531446	-2.0481553	1.4056924607497194e-06	7.380252172343653e-06
20776	Nudt5	-5.2825403	-2.0496144	2.96416801189324e-07	1.6499376448586534e-06
18784	Tmed4	-3.0553465	-2.0520356	0.0025259975466714176	0.00900495213845987
