	names	scores	logfoldchanges	pvals	pvals_adj
516	B230206L02Rik	3.4470663	28.664629	0.0006991790250320959	0.002714485135924887
577	Sv2c	3.2999907	28.597403	0.0011567213118840428	0.00435571375436096
733	Hmgn3	2.9709663	28.361727	0.0033563218993188136	0.01174035892858649
850	Zfyve28	2.7454402	28.315311	0.00662951206631724	0.021950605043588763
939	Rbm24	2.6046314	16.34917	0.009932744560294466	0.03178326633629907
619	Adam11	3.1874852	16.23787	0.0016809926719804202	0.006171900404465843
770	Dmrt3	2.890087	15.997267	0.004304346269066482	0.014777061014343973
137	Hhip	5.506934	15.87741	1.1874467861372293e-07	6.788417376930878e-07
695	Hoxa5	3.043994	15.811365	0.002669148645290625	0.009481678438587823
189	Cap2	4.9116907	15.719468	1.9557704920208896e-06	1.0139210831882411e-05
997	Ube2ql1	2.51311	15.559518	0.012807560223432822	0.04004989680012795
834	Matn1	2.7780418	15.4466	0.006023371773955713	0.020083761081930277
697	Tlx2	3.030151	15.226347	0.0027885157086688464	0.009884769466721557
983	Piwil1	2.535307	15.100797	0.012049306774616693	0.03790498531874791
794	Trpa1	2.847833	14.895702	0.004891618463720557	0.016605097278870027
918	Snca	2.6300566	14.628389	0.00924438645275119	0.02978141609022841
356	Tmcc2	3.9666562	14.485868	0.00010356151953116456	0.00044898077598878205
927	Slc32a1	2.617195	14.143195	0.009587047330814813	0.030806411415344383
708	Tll1	3.013104	14.060753	0.0029422547383593754	0.010387775528472957
456	Pygo1	3.590926	13.822642	0.00042050103481392376	0.0016832086298073582
861	Mobp	2.7287617	13.699187	0.006960518171136753	0.022970988464546562
1026	Hic1	2.467815	13.214973	0.01448812169450774	0.04477078785057097
213	Prmt8	4.746117	12.8077755	4.096552460621292e-06	2.0658516558634318e-05
341	Lonrf2	4.0363727	12.512889	7.894278586801056e-05	0.0003476412527527902
869	Dlk1	2.7153401	12.374921	0.007237673331485054	0.02380133808081776
314	Oasl1	4.204503	12.371016	4.043502662506462e-05	0.00018369201006445285
647	Tmem108	3.1351566	12.016959	0.0019934714712624116	0.007233667251606275
421	Sox1	3.7263527	11.510057	0.00025684761060782904	0.0010560223597955757
1028	Ccna1	2.4660754	11.104969	0.014556392690660867	0.04494862530577994
928	Thsd4	2.6169174	10.925416	0.0095945616600235	0.030818746519758796
125	Emp1	5.6098275	10.833229	7.1584692725539e-08	4.167186671645934e-07
691	AF366264	3.0478845	10.504587	0.0026364588975470097	0.009373496411151587
94	Igfbp7	5.9334373	10.297751	1.4008891482980594e-08	8.675028467821118e-08
199	Ano1	4.84327	10.212991	2.660340036173856e-06	1.3640072007728735e-05
806	Fgf2	2.8319917	10.145363	0.005129992393653509	0.017332414865004753
996	Fam184a	2.5144536	10.098127	0.012760461227738077	0.03992246787593577
145	She	5.3128047	9.410059	3.032506054393172e-07	1.6868566406945123e-06
178	Srrm4os	5.019988	9.224374	1.194192400894712e-06	6.300066202203352e-06
229	Lgi2	4.6654434	9.208024	5.8345179452987985e-06	2.9021448367816093e-05
682	Padi2	3.068655	9.060541	0.00246808085284716	0.008817228486368055
989	Cabp4	2.5255897	8.879123	0.012376122844418117	0.03882142337305067
243	Foxo6	4.5921435	8.72256	8.01553936139628e-06	3.9333374384815065e-05
784	Mafa	2.8611424	8.603733	0.004699161597084113	0.016007951085191468
259	Bmp7	4.507193	8.567346	1.1528499528118382e-05	5.561716093791519e-05
633	Mboat4	3.1563995	8.54613	0.0018605946902231717	0.006787730070757602
622	Gas1	3.1773212	8.454247	0.0017378630852109263	0.006364910897698841
709	Ampd3	3.0100482	8.384289	0.0029705591346176046	0.010482806463548152
467	Prph	3.5651517	8.359135	0.00046112048602306823	0.001833837898090792
565	Adrb2	3.3188393	8.289216	0.0010854393555999918	0.004109443339970228
99	Rhcg	5.8747	8.280913	1.8910149635006012e-08	1.1562126979070034e-07
25	Col9a2	8.996876	8.271487	2.5136542919944193e-16	2.4421962171041954e-15
267	Stk33	4.4595723	8.109687	1.410252250148239e-05	6.744008574187986e-05
261	Dact1	4.490008	8.007758	1.239983918643115e-05	5.96263725665244e-05
337	Slit2	4.0743833	7.903927	6.797457807147855e-05	0.00030129207697092013
763	Fmnl1	2.9125867	7.8573227	0.004018557922789237	0.013865954182419819
247	Grk3	4.5592737	7.856869	9.229729705094398e-06	4.500186489667464e-05
113	Tgm2	5.7308154	7.8000135	3.913771136443652e-08	2.3367433934513087e-07
718	Adgrd1	2.999913	7.6824875	0.0030664263084527674	0.010780277758605298
186	Igfbp3	4.9654326	7.5577374	1.5317392389563346e-06	8.025279903500863e-06
15	Sncb	10.333322	7.511486	4.116477168335862e-20	4.778304877356727e-19
24	Kank4	9.051247	7.4071097	1.7615972919782525e-16	1.7241719176039287e-15
1016	Tmem179	2.4879942	7.372649	0.013716421325659825	0.042584900274703436
720	Thrsp	2.997944	7.3682427	0.0030853432844661437	0.010843889033980354
635	1110032F04Rik	3.154562	7.3548627	0.001871618073268293	0.0068249755023181554
141	Ltbp1	5.4672427	7.3417916	1.4391591735248823e-07	8.177232855397535e-07
551	Asb2	3.352858	7.329586	0.0009670116552393026	0.0036804677221802724
898	Zfp365	2.670187	7.3187866	0.008244512313182559	0.02681438618125085
228	Lbh	4.6662364	7.3000627	5.8126812329326484e-06	2.892426977906782e-05
519	St8sia6	3.4370165	7.208099	0.0007239065070482816	0.00280493872333518
170	Syt7	5.0945525	6.9837193	8.459200724896563e-07	4.517680149342848e-06
504	Asgr2	3.4815054	6.9125085	0.0006199055299203856	0.002422794235490581
793	Nova1	2.8481553	6.875243	0.004886649323502778	0.016590467955647035
62	Slc15a1	6.7497787	6.7866936	1.7771085736371837e-10	1.2472485787184632e-09
163	Peg12	5.179562	6.7642856	5.69160897297321e-07	3.0841605365395977e-06
800	Fbxw23	2.83828	6.749198	0.00503391520953551	0.017042140401165036
210	Mal	4.7815237	6.6934924	3.4983446130612464e-06	1.772710725160004e-05
704	Slc2a7	3.0179672	6.6828966	0.0028974192847819784	0.010241945571867044
531	Pdcl2	3.395634	6.6816754	0.0008352456013649886	0.003208087930483268
187	Gsta2	4.9619346	6.6760535	1.555791146330198e-06	8.142815333913815e-06
604	Slain1	3.2400095	6.635333	0.0014133623342193558	0.00524826043031498
998	Fhad1	2.5121696	6.5586414	0.01284004142017904	0.040141486686947996
