	names	scores	logfoldchanges	pvals	pvals_adj
23436	Col4a2	-21.668459	-2.000989	1.1497503711674177e-71	1.845617156116479e-70
14211	Ppp1r21	-3.0057893	-2.0017087	0.0029002403843539706	0.00653265973692234
14918	Crls1	-3.414064	-2.0019226	0.0007388795873839601	0.0017869221364345863
17381	Dnajc13	-5.2474875	-2.0037277	2.945095975039921e-07	9.508528321929684e-07
15740	Soat2	-3.9235375	-2.00421	0.00010829818347692982	0.0002862686535496735
17534	Bola3	-5.3615456	-2.004235	1.69883263526746e-07	5.591055358827384e-07
17677	Fdx2	-5.481993	-2.008722	9.377251832983887e-08	3.142909961450722e-07
18395	Vcp-rs	-6.1958613	-2.0088663	1.4930616647961917e-09	5.580456629462616e-09
14340	Csnk1g2	-3.080044	-2.0183964	0.0022821026831454077	0.005207657705873137
14260	Mfn1	-3.0302958	-2.0188181	0.002685657028100244	0.0060756378167851005
21014	Sar1a	-10.277262	-2.0269244	1.5879930364196344e-21	9.744907742888383e-21
17449	Zfp622	-5.304225	-2.0344806	2.305246150537481e-07	7.499503578714408e-07
14679	Tle3	-3.271399	-2.037201	0.0012057336609729262	0.0028448573781177174
16065	Akap9	-4.15172	-2.0421093	4.369083593345977e-05	0.00011983418243051434
15501	Rrp8	-3.7733693	-2.0424006	0.00019837994582607658	0.0005101778097647613
18228	Ipo4	-6.030328	-2.0428197	4.609230286870205e-09	1.6732656752191245e-08
21965	Ssr1	-12.934567	-2.044182	5.199694496831729e-32	4.247844912689134e-31
16828	Wdr4	-4.7296824	-2.0445206	3.522068336224404e-06	1.0577137885552611e-05
15796	Trrap	-3.9612286	-2.0493875	9.43693380739619e-05	0.00025090015113755817
17846	Bri3	-5.651072	-2.0496821	3.852520952213903e-08	1.3215097781533957e-07
21690	Vps35	-12.056814	-2.0505795	2.0201917016799736e-28	1.5110289046701772e-27
19149	Rtn3	-7.0812936	-2.0507193	9.480072399919968e-12	3.97966857722942e-11
20473	Vcp	-9.1358595	-2.0514257	3.889247661328534e-18	2.1323046136237562e-17
16870	Iqgap2	-4.7723026	-2.0545547	2.8788303601598015e-06	8.685870082698772e-06
12819	Acap2	-2.320224	-2.0561707	0.021102790755671147	0.04181328071430894
19501	Trappc2l	-7.5576334	-2.0615206	5.28724067103107e-13	2.3555659199276577e-12
17049	Tceal8	-4.93083	-2.0628424	1.2898446201487667e-06	3.981928273836779e-06
12928	C330007P06Rik	-2.3721013	-2.0629437	0.0184266662370439	0.036850402490586916
16668	Dera	-4.5831866	-2.06367	6.83361821296752e-06	2.0120898107103474e-05
13767	2310057M21Rik	-2.7603176	-2.0676024	0.006187335274487021	0.013350165679743226
14795	Mtfp1	-3.3366683	-2.067723	0.0009705970714353759	0.0023154778769807895
14071	BC005624	-2.9345963	-2.070701	0.0036413260112226455	0.008089905889974778
21134	Mlec	-10.5393715	-2.0716262	1.9543609878416577e-22	1.2330071805409847e-21
17073	Ninj1	-4.9595113	-2.0722811	1.2120353148229393e-06	3.7490821826188166e-06
17354	Tubb6	-5.218065	-2.072629	3.387044309095565e-07	1.0882323738790373e-06
18724	Commd7	-6.573238	-2.0742803	1.9958923147271318e-10	7.833464703486703e-10
17044	Azin1	-4.925029	-2.0751588	1.4155230073962138e-06	4.361350530137722e-06
16100	Arf3	-4.1740675	-2.0767586	4.0223526265754104e-05	0.000110698312876234
18531	Pnn	-6.363167	-2.0774074	7.560652341660016e-10	2.8697849555170667e-09
19828	Sys1	-8.013524	-2.077469	2.4683336742919682e-14	1.1681743225426184e-13
17486	Fam91a1	-5.326362	-2.0794418	2.0048092404784243e-07	6.551769733012119e-07
19111	Rab8a	-7.0427585	-2.07976	1.256362029088736e-11	5.245233274638683e-11
17952	Ankrd17	-5.7507086	-2.0809093	2.2396337278532546e-08	7.809224672916657e-08
17660	Ehd4	-5.4658585	-2.0856025	1.001467098500124e-07	3.3502996935326663e-07
18261	Cmc2	-6.062742	-2.0862029	4.436568545475161e-09	1.6124468312799046e-08
17355	Zfp655	-5.2194257	-2.0868828	3.3603144367278627e-07	1.0801961577182447e-06
22219	Selenos	-13.850288	-2.0870721	3.425794700530755e-35	3.0342408414489653e-34
17412	Gatd3a	-5.269288	-2.0968368	2.759931380171042e-07	8.921902424985555e-07
15228	Asxl2	-3.5968525	-2.0980742	0.00038176080763005434	0.0009536058942528686
