	names	scores	logfoldchanges	pvals	pvals_adj
221	Nrn1	3.0609775	28.147673	0.002468372401491406	0.005607282523897302
19	Grem2	7.240362	16.969326	6.662781177755039e-12	2.8200504416161914e-11
139	Nkx6-1	3.7611475	16.016748	0.00021461587024453575	0.0005499080778375321
297	Foxd1	2.600475	15.115453	0.009912669779009111	0.02076649418016117
99	Cdh13	4.165571	14.627218	4.395454694655856e-05	0.00012053119741564746
368	Ntn4	2.2874322	14.275431	0.02307960504492097	0.04543667412537701
277	Ajap1	2.7460573	14.011792	0.006508693967100154	0.013990744150439008
180	Kcnq5	3.4071767	13.842686	0.0007746990090594173	0.0018685184460524099
367	Nr4a3	2.2893827	13.266791	0.022964181648603955	0.04523552850359536
133	Robo2	3.8277438	13.171407	0.00016673018068033771	0.00043169644517068604
203	Syt13	3.2083533	12.012183	0.001525090488959646	0.003557318820409026
279	Arsi	2.742296	10.192783	0.006581268074431388	0.014138288252134864
40	Bmp2	5.5143437	9.762582	9.379498547940519e-08	3.143244157672473e-07
252	Efna5	2.8694856	9.388212	0.004494271484216479	0.009873266804714525
31	Thbd	6.1053395	9.38208	4.323206371320717e-09	1.5723819124378445e-08
105	Mak	4.076725	9.192805	6.2940588060306e-05	0.00017014589490262622
213	Foxf1	3.1368363	8.864488	0.0019307345022431502	0.004445779537662412
251	Ccdc184	2.8735762	8.527764	0.00443847096958436	0.009760057589730307
232	Ednra	3.0011191	8.44447	0.0029864533101972525	0.006713848115533264
286	Elavl4	2.6645472	8.435154	0.008255029467139036	0.01750227673772887
3	Fst	11.219838	8.419705	1.368256082789954e-23	8.974475490612387e-23
113	Slc16a2	4.0006447	8.203986	8.518983063121957e-05	0.00022743207383758195
39	Nog	5.528499	7.8813524	8.730497980130163e-08	2.933176788996849e-07
160	Slc24a3	3.5656128	7.802187	0.00044144879115408115	0.001095327589310821
310	Spock2	2.533706	7.63755	0.011951865237049381	0.024690967326933322
27	Drp2	6.3068447	7.56476	1.4409287406329163e-09	5.387205936664741e-09
42	Arhgap6	5.501396	7.554721	1.000578220817689e-07	3.3477712910944597e-07
88	Flt1	4.2660494	7.324234	2.907201578399496e-05	8.109087214799393e-05
174	Ptprm	3.4646716	7.303848	0.0006331026733991774	0.001541931123807408
95	Gsdma	4.185803	7.0563803	4.045142321275733e-05	0.000111288975116887
64	Flrt2	4.8426027	6.983821	2.3517963660965836e-06	7.139402099057865e-06
363	Tcaf1	2.3161104	6.8194613	0.021432253645700318	0.042415964453496914
274	Fam124a	2.7576299	6.812411	0.0062895897417614985	0.01355800328770835
