	names	scores	logfoldchanges	pvals	pvals_adj
0	Lefty1	13.071094	10.2303505	6.4887617412452744e-21	2.097816670944597e-16
6	Lefty2	5.497271	3.400559	4.338261287949483e-07	0.0004524386691593768
31	Pitx2	4.4474835	2.8243408	2.6163481407870802e-05	0.0070562970422943135
37	Nodal	4.328325	2.405373	3.898200874881486e-05	0.009002059591779889
50	Lhx1	4.1383467	2.3032095	8.266083832285609e-05	0.014941515651479265
10	Fgf5	5.1768723	1.8669084	1.1633623988173427e-06	0.0008955120560420163
12	Dapk2	5.0823317	1.8381362	1.8363241247147897e-06	0.0012368408115006073
78	Mpped2	3.6023567	1.6178219	0.0005138525701686224	0.047738085038941266
41	Has2	4.2320366	1.402485	5.0051196756867146e-05	0.010893989216474319
30	Fam25c	4.476406	1.3143847	1.888397213338786e-05	0.006080291355947235
62	S100g	3.8893805	1.2650998	0.00017915777149699722	0.02463522549945614
61	Tcf15	3.8927436	1.2452632	0.0001743433394640571	0.024613625174117755
76	Rpp25	3.6806078	1.1850199	0.00037684833458380185	0.03930163437772359
13	Hmgb3	5.021783	1.1821578	1.9356722640782567e-06	0.001277148659135715
1	Npm3	7.6220884	1.0833676	2.5332358396235603e-12	4.094975734751485e-08
47	Unc5b	4.1617913	1.0709982	5.917698906378352e-05	0.011957450352700757
48	Cox7a1	4.161693	1.0702877	6.377152517245196e-05	0.012420080776056459
4	Foxq1	5.502227	0.9935888	2.1164561284435279e-07	0.000273700106530317
26	Lsm7	4.561885	0.857979	1.2109567275001094e-05	0.004499336504521371
46	Slc25a22	4.171391	0.8513848	6.307912861111039e-05	0.012383699512066743
45	Pycr2	4.1747704	0.81186897	5.873656989034255e-05	0.01194310254436965
44	Rpl9-ps6	4.185446	0.8117362	5.109715080397993e-05	0.011013139236617809
77	Ermp1	3.6257606	0.81012696	0.00043044533690649896	0.042043195595731456
73	Ndufaf2	3.7092326	0.74627966	0.0003199798423112388	0.03518689898613044
39	Utf1	4.294218	0.7398433	3.619012513888327e-05	0.008731542878657433
19	Amot	4.759525	0.73679644	4.154205046340802e-06	0.002201728674560625
15	Rps8	4.901751	0.69429344	1.6958574780093765e-06	0.0011665334524264498
56	Abhd17a	3.9685009	0.66155064	0.00011924668383665522	0.019186697185612823
17	Rps17	4.8197165	0.6377452	2.4830800208299656e-06	0.001543807251412169
5	Rpl9	5.4975576	0.63739496	8.794789100339744e-08	0.00014965027979683363
9	Rps18	5.191826	0.62992376	4.2964967811495956e-07	0.0004524386691593768
65	Uqcc2	3.8441694	0.62849605	0.00019242974559286366	0.025762794043777994
20	Rpl11	4.664389	0.6258442	5.0541715505520395e-06	0.0025138671727591914
55	Rpl15	3.9796493	0.6234802	0.00010255361239297489	0.017113763921093896
11	Fau	5.137366	0.6226105	5.671939706966925e-07	0.0005116190515675449
14	Rps16	4.9503937	0.6191457	1.3268395472793866e-06	0.0009975981991521528
27	Rpl10	4.55512	0.6135419	8.352238097147596e-06	0.0035068552945556075
60	Rpl36	3.9119685	0.6078654	0.00012263624314691674	0.019186697185612823
24	Psmb5	4.5770073	0.6074083	9.877481274054586e-06	0.0038474574649419854
25	Mrpl52	4.5722275	0.60734516	1.0732373097288084e-05	0.00408208967335675
23	Rps27	4.620483	0.60468036	6.012441196273142e-06	0.0028171336793552273
22	Rpl31	4.636245	0.5898614	5.862560062197398e-06	0.002787302453100616
7	Rpl21	5.4310155	0.5723892	1.2714660487189962e-07	0.00017872390154384846
33	Rps13	4.433933	0.5711321	1.4219334495985366e-05	0.00499685961146964
38	Rps23	4.3047094	0.5683165	2.412124581082248e-05	0.006708634685938719
34	Rpl24	4.4184237	0.5675859	1.5518257810750914e-05	0.005172219330119351
43	Rps27a	4.1990924	0.5562271	3.718474567582406e-05	0.008787104802409296
2	Rpl18	5.951935	0.5554425	8.667317617994723e-09	2.6281199805952766e-05
3	Rpl18a	5.93644	0.5522424	8.94194858847759e-09	2.6281199805952766e-05
80	mt-Nd1	3.593804	0.5490223	0.0004182760663035228	0.04120483364597752
59	Rpl17	3.9202461	0.54492813	0.00012135190787717093	0.019186697185612823
18	Rpl34	4.793796	0.54204804	3.098051470316107e-06	0.0017571930532512235
32	Nhp2	4.447074	0.5380898	1.702679125300974e-05	0.005617103685814336
21	Snrpd2	4.6556983	0.53727347	6.887534010183057e-06	0.003016578365889243
66	Pdcd5	3.8268654	0.5248736	0.00019077567285515027	0.025699072930862536
70	Rpl36a	3.7286224	0.52444595	0.00024709166505049884	0.029807737056278462
8	Rpl7a	5.1981688	0.52054894	4.069721442722177e-07	0.0004524386691593768
75	Rps15	3.6855567	0.52001673	0.0003036874499095781	0.03362402484786527
63	Rpl12	3.8846264	0.5144118	0.00013549370854438529	0.02046968036093447
51	Rpl27	4.1221986	0.51317275	5.448067952017832e-05	0.011437404992775098
16	Atp5g1	4.825355	0.5130746	3.03413010547055e-06	0.0017571930532512235
68	Rpl6	3.766501	0.50082695	0.000215707649170046	0.027390466886724706
52	Rpl19	4.101603	0.49926278	5.56603431551707e-05	0.011609670285204314
74	Rpl3	3.7004929	0.49866182	0.0002794839317583866	0.03181589969629803
71	Rpl41	3.7178721	0.49661386	0.000255979518033017	0.030472717809547682
42	Rpl13	4.2271376	0.4875992	3.304219573563563e-05	0.008345735844789844
54	Rpl35a	4.0030117	0.48400894	8.544302822959882e-05	0.015346517237016277
29	Snrpg	4.4772987	0.4808316	1.2689606684153168e-05	0.004512971060532346
49	Rpl30	4.1527147	0.47366202	5.020737374743809e-05	0.010893989216474319
84	Rpl10a	3.5201662	0.46574724	0.0005447874909325495	0.04947466174676777
57	Rps28	3.9319453	0.45562646	0.00010765266746248706	0.017757197648276563
72	Rpsa	3.7161772	0.4549684	0.00024690833836345103	0.029807737056278462
79	Cox7c	3.5994208	0.45091915	0.00039885966461247047	0.040423614285019345
36	Rps19	4.3458743	0.45045286	2.154947933010552e-05	0.006450876543910292
58	Rps7	3.9251628	0.43980247	0.0001209207095202436	0.019186697185612823
35	Rps25	4.372554	0.43562967	1.871308026905111e-05	0.006080291355947235
69	Uqcr11	3.7626464	0.41938514	0.00023549214513064368	0.028948521110546424
53	Sec61b	4.039155	0.41812655	7.765433011520642e-05	0.014428531566808183
28	Naca	4.5323186	0.40717795	1.0010500592997426e-05	0.0038528510020429375
40	Rps14	4.2517467	0.40519452	3.363927157868011e-05	0.008365828077990215
67	Chchd2	3.7985067	0.33159137	0.00019284244227016006	0.025762794043777994
64	Rps5	3.8740146	0.29802972	0.00015339714813484315	0.022239147081612013
32078	Eif1a	-3.5697455	-0.47697845	0.0004986038579562392	0.04672423979050786
32156	Ubap2l	-3.7989318	-0.50638074	0.00020752243956954032	0.026734054723205256
32071	Actn4	-3.5521889	-0.52787304	0.0005126096320709599	0.047738085038941266
32246	Col4a1	-4.287294	-0.54181015	3.171639342492708e-05	0.008138023804983274
32217	Echdc2	-4.095652	-0.57465124	7.152221094600812e-05	0.013481052388077815
32175	Rnf4	-3.869793	-0.58042103	0.0001657318877406091	0.023708459870149964
32103	Pdha1	-3.6331244	-0.59178805	0.000396870587939126	0.040423614285019345
32072	Idh1	-3.5534651	-0.59447116	0.0005012271901812358	0.04683432097849524
32147	Pak2	-3.7693286	-0.6083339	0.00023189809284568266	0.028725154565903906
32110	Cdipt	-3.6550195	-0.6357445	0.00035176258470975087	0.038029811911114514
32061	Sdc4	-3.5243526	-0.6473834	0.0005304722629629944	0.04900048074741031
32223	Lgmn	-4.1240716	-0.6531276	6.320168325057261e-05	0.012383699512066743
32109	Pacsin2	-3.6501765	-0.6730655	0.00035289030539234	0.038029811911114514
32106	Ppm1l	-3.6399307	-0.6771639	0.0003727675189680201	0.03930163437772359
32091	Bex3	-3.608826	-0.67899585	0.00042710614183904915	0.04184345928986806
32113	Atp6ap1	-3.683397	-0.6832109	0.00032717120451639765	0.035665385126123654
32137	Dstn	-3.7375216	-0.6958194	0.0002617761312947327	0.030775353908213485
32203	Eif4ebp1	-3.9966376	-0.6994178	9.281618968299583e-05	0.016220256283520296
32207	Dnmt3l	-4.0340605	-0.71050906	9.50383384069823e-05	0.016430959789827473
32288	Ptp4a2	-4.7482553	-0.7162697	4.4780031540925286e-06	0.0022979974916160547
32188	Tgoln1	-3.9344149	-0.7181865	0.00012131884606977336	0.019186697185612823
32214	Tpm4	-4.073943	-0.7195596	7.172103342868494e-05	0.013481052388077815
32096	Hmox1	-3.6141875	-0.7279178	0.0003985546521027382	0.040423614285019345
32131	Macf1	-3.730839	-0.72824347	0.0002690852371305059	0.030798287467056186
32142	Jade1	-3.7530344	-0.73291385	0.00026282659499546253	0.03078689788479458
32200	F2r	-3.9883943	-0.74534965	9.590046715522374e-05	0.016491819697491403
32125	Lpcat3	-3.7167726	-0.7619626	0.0002687973994498479	0.030798287467056186
32107	Eea1	-3.6489697	-0.76426876	0.0003580052959435888	0.038363714706369435
32236	Fopnl	-4.2171187	-0.76938856	3.827503243644264e-05	0.008939467461859663
32264	Wdr1	-4.3966317	-0.7725239	1.918310294793127e-05	0.006080291355947235
32158	Meg3	-3.8071835	-0.774252	0.00020102664628916193	0.026312516091208927
32116	Cdc42se2	-3.6893404	-0.7813676	0.00029185485555721684	0.03253678441436145
32226	Hcfc1r1	-4.13676	-0.79678214	5.665097809353392e-05	0.011672012771650801
32290	Ddah1	-4.7711167	-0.7986788	4.24262793949071e-06	0.0022123251819957204
32271	Ptbp3	-4.501738	-0.80760735	1.2386048527757563e-05	0.004499336504521371
32183	Gask1b	-3.9026556	-0.8129066	0.00014287990405145704	0.021485150223179563
32181	Dsg2	-3.901622	-0.8164652	0.0001459364097719967	0.021843167258928955
32085	Lpcat4	-3.5933619	-0.837061	0.0004193130302977607	0.04120483364597752
32163	Elf3	-3.8179631	-0.84116685	0.00017845096168111086	0.02463522549945614
32302	Magt1	-5.113996	-0.8455184	8.837418757659584e-07	0.0007142843710878358
32262	Phf3	-4.3740883	-0.8563641	2.0777633025566073e-05	0.006329492439039162
32252	Fabp3	-4.3164725	-0.8590502	3.520920438868185e-05	0.008558748705910408
32087	Tcn2	-3.597103	-0.8642728	0.00041852795856162106	0.04120483364597752
32094	Grtp1	-3.6117918	-0.8710668	0.000404794971978295	0.040652525824012
32198	Slc9a6	-3.9760268	-0.87953025	0.0001018986277037338	0.017113763921093896
32209	Arid5b	-4.0399203	-0.8819761	8.154240765807535e-05	0.014894158415737716
32102	Mcm10	-3.6245382	-0.88862884	0.0003738521146825779	0.03930163437772359
32307	Slc2a3	-5.200821	-0.88998115	7.674182062568688e-07	0.0006529113317969622
32197	Slc7a1	-3.9737768	-0.89091307	0.00010269317045135217	0.017113763921093896
32251	Jarid2	-4.309278	-0.8980213	2.69864320705741e-05	0.007210507015220336
32255	Riok3	-4.3275056	-0.89810395	2.6191019024909297e-05	0.0070562970422943135
32263	Ctnnd1	-4.396354	-0.8994206	1.989659108759191e-05	0.006245211552056762
32189	Dusp9	-3.934522	-0.9000264	0.0001279900953112465	0.019534755577256587
